price,Price_Ln,price_sqm,Price_sqm_Ln,sqm,sqm_Ln,Age,Age_Ln,floor,floortotal,d_elevator,d_poor,d_satisf,d_good,d_1room,d_2room,d_3room,d_morethan3,d_00320,d_00400
"168,000",12.03172,"6,462",8.77369,26,3.2581,57,4.04305,2,3,0,0,0,1,1,0,0,0,1,0
"167,000",12.02575,"6,423",8.76764,26,3.2581,57,4.04305,3,3,0,0,1,0,1,0,0,0,1,0
"185,000",12.12811,"6,271",8.74369,29.5,3.38439,59,4.07754,1,4,0,0,0,1,1,0,0,0,1,0
"174,000",12.06681,"6,000",8.69951,29,3.3673,57,4.04305,2,3,0,0,0,1,1,0,0,0,1,0
"175,000",12.07254,"6,863",8.8339,25.5,3.23868,57,4.04305,2,4,0,0,1,0,1,0,0,0,1,0
"181,000",12.10625,"6,704",8.81046,27,3.29584,62,4.12713,2,3,0,0,1,0,1,0,0,0,1,0
"187,000",12.13886,"6,032",8.70483,31,3.43399,59,4.07754,2,3,0,0,0,1,1,0,0,0,1,0
"211,000",12.25961,"5,410",8.596,39,3.66356,62,4.12713,3,4,1,0,1,0,1,0,0,0,1,0
"208,000",12.24529,"4,952",8.50755,42,3.73767,62,4.12713,1,4,0,0,1,0,1,0,0,0,1,0
"165,000",12.0137,"4,853",8.48735,34,3.52636,58,4.06044,3,3,0,0,1,0,1,0,0,0,1,0
"171,000",12.04942,"5,897",8.6822,29,3.3673,52,3.95124,4,4,0,0,1,0,1,0,0,0,1,0
"180,000",12.10071,"7,059",8.86206,25.5,3.23868,57,4.04305,3,3,0,0,0,1,1,0,0,0,1,0
"181,500",12.10901,"6,259",8.74178,29,3.3673,55,4.00733,2,4,1,0,0,1,1,0,0,0,1,0
"190,000",12.15478,"5,938",8.68913,32,3.46574,60,4.09434,2,3,0,0,0,1,1,0,0,0,1,0
"154,000",11.94471,"6,444",8.7709,23.9,3.17388,61,4.11087,3,4,0,0,1,0,1,0,0,0,1,0
"152,000",11.93164,"6,609",8.79619,23,3.13549,57,4.04305,1,3,0,0,0,1,1,0,0,0,1,0
"163,100",12.00212,"7,586",8.93406,21.5,3.06805,54,3.98898,1,4,0,0,0,1,1,0,0,0,1,0
"198,000",12.19602,"5,500",8.6125,36,3.58352,63,4.14313,2,3,0,0,0,1,1,0,0,0,1,0
"135,000",11.81303,"4,500",8.41183,30,3.4012,55,4.00733,1,4,0,0,1,0,1,0,0,0,1,0
"166,500",12.02275,"5,946",8.69047,28,3.3322,58,4.06044,4,4,0,0,1,0,1,0,0,0,1,0
"176,000",12.07824,"6,175",8.72826,28.5,3.3499,58,4.06044,3,4,0,0,1,0,1,0,0,0,1,0
"195,000",12.18075,"6,500",8.77956,30,3.4012,86,4.45435,3,3,0,0,1,0,1,0,0,0,1,0
"178,000",12.08954,"5,742",8.65556,31,3.43399,59,4.07754,2,4,0,0,0,1,1,0,0,0,1,0
"253,000",12.44114,"5,622",8.63444,45,3.80666,56,4.02535,3,3,0,0,0,1,0,1,0,0,1,0
"260,000",12.46844,"4,727",8.46105,55,4.00733,54,3.98898,1,3,0,0,0,1,0,1,0,0,1,0
"255,000",12.44902,"5,916",8.68542,43.1,3.76352,61,4.11087,2,3,0,0,0,1,0,1,0,0,1,0
"330,000",12.70685,"5,156",8.54792,64,4.15888,60,4.09434,2,3,0,0,0,1,0,1,0,0,1,0
"246,000",12.41309,"4,731",8.46189,52,3.95124,58,4.06044,1,3,0,0,1,0,0,1,0,0,1,0
"235,000",12.36734,"5,595",8.62963,42,3.73767,57,4.04305,1,3,0,0,0,1,0,1,0,0,1,0
"244,000",12.40492,"5,083",8.53366,48,3.8712,62,4.12713,2,4,0,0,1,0,0,1,0,0,1,0
"248,000",12.42118,"4,960",8.50916,50,3.91202,63,4.14313,2,3,0,0,0,1,0,1,0,0,1,0
"224,000",12.3194,"4,870",8.49085,46,3.82864,57,4.04305,2,3,0,0,0,1,0,1,0,0,1,0
"240,000",12.38839,"5,714",8.65067,42,3.73767,57,4.04305,2,3,0,0,0,1,0,1,0,0,1,0
"248,500",12.4232,"5,917",8.68558,42,3.73767,60,4.09434,3,4,0,0,1,0,0,1,0,0,1,0
"262,000",12.4761,"4,764",8.46884,55,4.00733,56,4.02535,4,4,0,0,1,0,0,1,0,0,1,0
"200,000",12.20607,"3,670",8.20795,54.5,3.9982,58,4.06044,3,3,0,0,1,0,0,1,0,0,1,0
"209,000",12.25009,"5,500",8.6125,38,3.63759,57,4.04305,1,4,1,0,0,1,0,1,0,0,1,0
"285,000",12.56024,"6,404",8.76468,44.5,3.79549,57,4.04305,2,3,0,0,0,1,0,1,0,0,1,0
"268,000",12.49874,"4,917",8.50045,54.5,3.9982,34,3.52636,1,3,0,0,1,0,0,1,0,0,1,0
"248,000",12.42118,"5,835",8.67163,42.5,3.7495,63,4.14313,2,3,0,0,1,0,0,1,0,0,1,0
"245,500",12.41105,"5,517",8.61559,44.5,3.79549,57,4.04305,3,3,0,0,1,0,0,1,0,0,1,0
"215,000",12.27839,"4,095",8.31752,52.5,3.96081,49,3.89182,3,4,1,0,0,1,0,1,0,0,1,0
"242,555",12.39898,"4,851",8.48694,50,3.91202,62,4.12713,1,3,0,0,1,0,0,1,0,0,1,0
"250,000",12.42922,"4,717",8.45893,53,3.97029,58,4.06044,1,4,0,0,1,0,0,1,0,0,1,0
"185,000",12.12811,"3,627",8.19616,51,3.93183,54,3.98898,3,3,0,0,1,0,0,1,0,0,1,0
"235,000",12.36734,"5,465",8.60612,43,3.7612,57,4.04305,2,3,0,0,1,0,0,1,0,0,1,0
"230,000",12.34583,"5,412",8.59637,42.5,3.7495,56,4.02535,1,3,0,0,0,1,0,1,0,0,1,0
"225,000",12.32386,"5,114",8.53974,44,3.78419,57,4.04305,1,3,0,0,0,1,0,1,0,0,1,0
"257,000",12.45683,"5,411",8.59619,47.5,3.86073,56,4.02535,3,3,0,0,0,1,0,1,0,0,1,0
"202,000",12.21602,"4,489",8.40939,45,3.80666,61,4.11087,2,3,0,1,0,0,0,1,0,0,1,0
"212,000",12.26434,"4,157",8.33255,51,3.93183,54,3.98898,3,3,0,0,0,1,0,1,0,0,1,0
"264,801",12.48673,"4,886",8.49413,54.2,3.99268,64,4.15888,3,4,0,0,0,1,0,1,0,0,1,0
"255,000",12.44902,"4,904",8.49781,52,3.95124,61,4.11087,3,3,0,0,0,1,0,1,0,0,1,0
"220,000",12.30138,"5,000",8.51719,44,3.78419,57,4.04305,3,3,0,0,0,1,0,1,0,0,1,0
"242,000",12.39669,"4,654",8.44548,52,3.95124,58,4.06044,3,3,0,0,0,1,0,1,0,0,1,0
"197,000",12.19096,"5,970",8.6945,33,3.49651,58,4.06044,3,3,0,0,0,1,0,1,0,0,1,0
"223,000",12.31493,"5,868",8.67727,38,3.63759,59,4.07754,3,4,0,0,0,1,0,1,0,0,1,0
"207,200",12.24144,"3,909",8.27104,53,3.97029,48,3.8712,3,3,1,0,1,0,0,1,0,0,1,0
"260,000",12.46844,"4,643",8.44312,56,4.02535,17,2.83321,5,5,1,0,0,1,0,1,0,0,1,0
"228,000",12.3371,"5,241",8.56427,43.5,3.77276,59,4.07754,2,3,0,0,1,0,0,1,0,0,1,0
"251,000",12.43321,"4,640",8.44247,54.1,3.99083,64,4.15888,2,4,0,0,0,1,0,1,0,0,1,0
"205,000",12.23077,"4,881",8.49311,42,3.73767,58,4.06044,1,3,1,0,1,0,0,1,0,0,1,0
"250,000",12.42922,"4,950",8.50714,50.5,3.92197,62,4.12713,3,3,0,0,0,1,0,1,0,0,1,0
"398,000",12.89421,"4,914",8.49984,81,4.39445,58,4.06044,4,4,1,0,0,1,0,0,1,0,1,0
"340,000",12.7367,"5,152",8.54714,66,4.18965,63,4.14313,2,3,0,0,0,1,0,0,1,0,1,0
"412,000",12.92878,"4,527",8.41781,91,4.51086,61,4.11087,2,3,0,0,0,1,0,0,1,0,1,0
"340,000",12.7367,"3,886",8.26514,87.5,4.47164,39,3.66356,4,4,0,0,1,0,0,0,1,0,1,0
"297,000",12.60149,"4,569",8.42705,65,4.17439,56,4.02535,3,3,0,0,0,1,0,0,1,0,1,0
"190,000",12.15478,"2,901",7.97281,65.5,4.18205,52,3.95124,1,4,0,1,0,0,0,0,1,0,1,0
"248,000",12.42118,"4,168",8.33519,59.5,4.08598,58,4.06044,2,3,0,0,1,0,0,0,1,0,1,0
"271,000",12.50987,"4,202",8.34332,64.5,4.16667,46,3.82864,1,3,0,0,1,0,0,0,1,0,1,0
"352,500",12.77281,"4,732",8.4621,74.5,4.3108,54,3.98898,2,4,1,0,0,1,0,0,1,0,1,0
"305,000",12.62807,"4,621",8.43837,66,4.18965,23,3.13549,1,4,1,0,1,0,0,0,1,0,1,0
"290,000",12.57764,"4,915",8.50005,59,4.07754,61,4.11087,1,3,0,0,1,0,0,0,1,0,1,0
"298,000",12.60485,"3,725",8.22282,80,4.38203,58,4.06044,1,3,0,0,0,1,0,0,1,0,1,0
"320,000",12.67608,"4,604",8.43468,69.5,4.24133,17,2.83321,4,5,1,0,0,1,0,0,1,0,1,0
"275,000",12.52453,"4,508",8.41361,61,4.11087,57,4.04305,2,4,1,0,1,0,0,0,1,0,1,0
"324,000",12.6885,"5,226",8.5614,62,4.12713,57,4.04305,2,3,0,0,0,1,0,0,1,0,1,0
"339,000",12.73376,"5,136",8.54403,66,4.18965,60,4.09434,2,4,0,0,1,0,0,0,1,0,1,0
"336,000",12.72487,"5,793",8.66441,58,4.06044,60,4.09434,2,3,0,0,0,1,0,0,1,0,1,0
"320,000",12.67608,"4,324",8.37194,74,4.30407,62,4.12713,4,4,0,0,1,0,0,0,1,0,1,0
"263,000",12.47991,"4,383",8.38549,60,4.09434,54,3.98898,3,3,0,0,0,1,0,0,1,0,1,0
"335,000",12.72189,"5,000",8.51719,67,4.20469,63,4.14313,2,3,0,0,0,1,0,0,1,0,1,0
"318,000",12.66981,"4,892",8.49536,65,4.17439,57,4.04305,2,4,0,0,1,0,0,0,1,0,1,0
"317,000",12.66666,"4,953",8.50775,64,4.15888,60,4.09434,1,3,0,0,0,1,0,0,1,0,1,0
"461,500",13.04224,"5,366",8.58784,86,4.45435,18,2.89037,3,4,1,0,1,0,0,0,1,0,1,0
"275,000",12.52453,"4,104",8.31972,67,4.20469,59,4.07754,2,4,0,0,0,1,0,0,1,0,1,0
"275,000",12.52453,"4,622",8.43858,59.5,4.08598,58,4.06044,2,4,1,0,1,0,0,0,1,0,1,0
"255,500",12.45098,"4,563",8.42574,56,4.02535,61,4.11087,2,3,0,0,1,0,0,0,1,0,1,0
"250,000",12.42922,"3,676",8.20958,68,4.21951,56,4.02535,4,4,0,0,0,1,0,0,1,0,1,0
"293,000",12.58793,"4,883",8.49352,60,4.09434,55,4.00733,4,4,1,0,1,0,0,0,1,0,1,0
"340,000",12.7367,"5,000",8.51719,68,4.21951,54,3.98898,3,4,1,0,0,1,0,0,1,0,1,0
"695,000",13.45167,"6,043",8.70666,115,4.74493,53,3.97029,2,2,0,0,0,1,0,0,0,1,1,0
"407,000",12.91657,"4,788",8.47387,85,4.44265,61,4.11087,2,3,0,0,0,1,0,0,0,1,1,0
"530,000",13.18063,"5,048",8.52675,105,4.65396,58,4.06044,4,4,1,0,0,1,0,0,0,1,1,0
"370,000",12.82126,"3,957",8.28324,93.5,4.53796,54,3.98898,1,3,0,0,1,0,0,0,0,1,1,0
"375,000",12.83468,"4,011",8.2968,93.5,4.53796,54,3.98898,2,3,0,0,1,0,0,0,0,1,1,0
"575,000",13.26213,"4,812",8.47887,119.5,4.78332,56,4.02535,1,2,0,0,1,0,0,0,0,1,1,0
"397,000",12.89169,"4,563",8.42574,87,4.46591,63,4.14313,1,3,0,0,1,0,0,0,0,1,1,0
"475,000",13.07107,"4,398",8.38891,108,4.68213,24,3.17805,2,3,1,0,1,0,0,0,0,1,1,0
"329,000",12.70381,"4,113",8.32191,80,4.38203,58,4.06044,3,3,0,0,0,1,0,0,0,1,1,0
"440,000",12.99453,"3,826",8.24958,115,4.74493,55,4.00733,1,4,1,0,1,0,0,0,0,1,1,0
"595,000",13.29632,"5,174",8.5514,115,4.74493,53,3.97029,1,2,0,0,1,0,0,0,0,1,1,0
"418,000",12.94324,"4,519",8.41605,92.5,4.52721,54,3.98898,1,4,1,0,1,0,0,0,0,1,1,0
"347,000",12.75708,"4,082",8.31434,85,4.44265,61,4.11087,2,3,0,0,1,0,0,0,0,1,1,0
"370,000",12.82126,"4,744",8.46464,78,4.35671,52,3.95124,1,3,0,0,0,1,0,0,0,1,1,0
"155,000",11.95118,"5,741",8.65539,27,3.29584,62,4.12713,4,5,1,0,1,0,1,0,0,0,0,1
"125,000",11.73607,"5,319",8.57904,23.5,3.157,64,4.15888,3,4,0,1,0,0,1,0,0,0,0,1
"130,000",11.77529,"5,909",8.68423,22,3.09104,61,4.11087,4,4,0,0,1,0,1,0,0,0,0,1
"152,000",11.93164,"5,846",8.67351,26,3.2581,64,4.15888,5,6,1,0,1,0,1,0,0,0,0,1
"157,000",11.964,"5,815",8.6682,27,3.29584,61,4.11087,4,4,0,0,1,0,1,0,0,0,0,1
"148,550",11.90868,"5,713",8.6505,26,3.2581,61,4.11087,1,4,0,1,0,0,1,0,0,0,0,1
"155,000",11.95118,"5,741",8.65539,27,3.29584,59,4.07754,1,4,0,0,0,1,1,0,0,0,0,1
"170,000",12.04355,"4,474",8.40604,38,3.63759,64,4.15888,4,6,1,0,1,0,1,0,0,0,0,1
"152,500",11.93492,"5,865",8.67676,26,3.2581,61,4.11087,2,4,0,0,1,0,1,0,0,0,0,1
"146,000",11.89136,"5,615",8.6332,26,3.2581,61,4.11087,2,4,0,0,1,0,1,0,0,0,0,1
"224,000",12.3194,"4,667",8.44827,48,3.8712,64,4.15888,4,4,0,0,0,1,0,1,0,0,0,1
"200,000",12.20607,"3,922",8.27436,51,3.93183,61,4.11087,3,3,0,0,1,0,0,1,0,0,0,1
"210,000",12.25486,"4,941",8.50532,42.5,3.7495,61,4.11087,3,4,0,0,1,0,0,1,0,0,0,1
"200,000",12.20607,"4,082",8.31434,49,3.89182,61,4.11087,1,4,0,0,1,0,0,1,0,0,0,1
"195,000",12.18075,"4,149",8.33062,47,3.85015,65,4.17439,2,3,0,0,1,0,0,1,0,0,0,1
"255,000",12.44902,"5,204",8.55718,49,3.89182,66,4.18965,1,4,0,0,0,1,0,1,0,0,0,1
"173,000",12.06105,"2,883",7.96659,60,4.09434,46,3.82864,4,6,1,0,0,1,0,1,0,0,0,1
"175,000",12.07254,"2,869",7.96172,61,4.11087,46,3.82864,2,3,0,0,1,0,0,1,0,0,0,1
"174,000",12.06681,"4,244",8.35326,41,3.71357,65,4.17439,3,3,0,0,1,0,0,1,0,0,0,1
"205,000",12.23077,"5,256",8.56713,39,3.66356,64,4.15888,2,4,0,0,0,1,0,1,0,0,0,1
"214,000",12.27373,"5,095",8.53601,42,3.73767,63,4.14313,1,3,0,0,0,1,0,1,0,0,0,1
"228,000",12.3371,"4,957",8.50856,46,3.82864,66,4.18965,1,4,0,0,1,0,0,1,0,0,0,1
"148,500",11.90834,"3,160",8.05833,47,3.85015,46,3.82864,1,6,0,0,1,0,0,1,0,0,0,1
"218,000",12.29225,"4,542",8.42112,48,3.8712,63,4.14313,2,3,0,0,0,1,0,1,0,0,0,1
"220,000",12.30138,"4,583",8.43011,48,3.8712,64,4.15888,5,6,1,0,1,0,0,1,0,0,0,1
"150,000",11.91839,"3,333",8.11163,45,3.80666,45,3.80666,4,6,1,0,1,0,0,1,0,0,0,1
"169,000",12.03765,"4,829",8.48239,35,3.55535,62,4.12713,7,10,1,0,1,0,0,1,0,0,0,1
"217,000",12.28765,"4,989",8.51499,43.5,3.77276,61,4.11087,1,3,0,0,0,1,0,1,0,0,0,1
"220,000",12.30138,"5,176",8.55179,42.5,3.7495,62,4.12713,3,3,0,0,0,1,0,1,0,0,0,1
"212,000",12.26434,"4,874",8.49167,43.5,3.77276,61,4.11087,2,3,0,0,1,0,0,1,0,0,0,1
"151,500",11.92834,"3,223",8.07807,47,3.85015,46,3.82864,3,6,0,0,1,0,0,1,0,0,0,1
"200,000",12.20607,"4,255",8.35585,47,3.85015,65,4.17439,1,3,0,0,1,0,0,1,0,0,0,1
"220,000",12.30138,"4,583",8.43011,48,3.8712,61,4.11087,3,3,0,0,0,1,0,1,0,0,0,1
"210,000",12.25486,"5,060",8.52912,41.5,3.72569,66,4.18965,3,4,0,0,0,1,0,1,0,0,0,1
"226,000",12.32829,"4,809",8.47824,47,3.85015,62,4.12713,8,10,1,0,0,1,0,1,0,0,0,1
"231,000",12.35017,"4,400",8.38936,52.5,3.96081,59,4.07754,4,4,0,0,0,1,0,1,0,0,0,1
"223,413",12.31678,"4,513",8.41472,49.5,3.90197,64,4.15888,1,3,0,0,1,0,0,1,0,0,0,1
"290,000",12.57764,"4,974",8.51198,58.3,4.0656,64,4.15888,2,7,1,0,0,1,0,0,1,0,0,1
"240,000",12.38839,"4,068",8.31091,59,4.07754,64,4.15888,3,3,0,0,0,1,0,0,1,0,0,1
"216,000",12.28303,"2,650",7.88231,81.5,4.4006,46,3.82864,1,3,0,0,1,0,0,0,1,0,0,1
"255,000",12.44902,"4,554",8.42376,56,4.02535,62,4.12713,2,3,0,0,1,0,0,0,1,0,0,1
"191,000",12.16003,"2,671",7.89021,71.5,4.2697,45,3.80666,1,6,0,0,0,1,0,0,1,0,0,1
"230,000",12.34583,"2,822",7.9452,81.5,4.4006,46,3.82864,1,3,0,0,0,1,0,0,1,0,0,1
"265,000",12.48749,"3,732",8.2247,71,4.26268,64,4.15888,4,6,1,0,1,0,0,0,1,0,0,1
"302,000",12.61818,"4,719",8.45935,64,4.15888,64,4.15888,3,3,0,0,0,1,0,0,1,0,0,1
"210,000",12.25486,"2,593",7.86057,81,4.39445,46,3.82864,1,3,0,0,1,0,0,0,1,0,0,1
"291,200",12.58177,"4,412",8.39208,66,4.18965,62,4.12713,3,10,1,0,0,1,0,0,1,0,0,1
"269,000",12.50247,"4,339",8.3754,62,4.12713,61,4.11087,1,3,0,0,1,0,0,0,1,0,0,1
"265,000",12.48749,"4,274",8.36031,62,4.12713,61,4.11087,3,3,0,0,0,1,0,0,1,0,0,1
"251,000",12.43321,"3,803",8.24355,66,4.18965,62,4.12713,10,10,1,0,0,1,0,0,1,0,0,1
"300,000",12.61154,"3,797",8.24197,79,4.36945,64,4.15888,2,6,1,0,1,0,0,0,0,1,0,1
"437,700",12.98929,"3,709",8.21852,118,4.77068,64,4.15888,3,3,0,0,1,0,0,0,0,1,0,1
"185,000",12.12811,"2,024",7.61283,91.4,4.51525,45,3.80666,2,4,1,0,1,0,0,0,0,1,0,1
"295,000",12.59473,"3,491",8.15794,84.5,4.43675,62,4.12713,4,10,1,0,0,1,0,0,0,1,0,1
